sentence_id,medical,are,treated,prep,treatment,medical_first_index,medical_last_index,are_first_index,are_last_index,treated_first_index,treated_last_index,prep_first_index,prep_last_index,treatment_first_index,treatment_last_index,sentence_text
45321,Head and neck squamous cell carcinomas,are,treated,with,surgery,0,5,9,9,10,10,11,11,12,12,"Head and neck squamous cell carcinomas ( HNSCC ) are treated with surgery , radiotherapy and cisplatin-based chemotherapy , but survival from locally-advanced disease remains poor , particularly in patients whose tumors are negative for Human papillomavirus ( HPV ) ."
45321,Head and neck squamous cell carcinomas,are,treated,with,radiotherapy,0,5,9,9,10,10,11,11,14,14,"Head and neck squamous cell carcinomas ( HNSCC ) are treated with surgery , radiotherapy and cisplatin-based chemotherapy , but survival from locally-advanced disease remains poor , particularly in patients whose tumors are negative for Human papillomavirus ( HPV ) ."
45321,Head and neck squamous cell carcinomas,are,treated,with,cisplatin-based chemotherapy,0,5,9,9,10,10,11,11,16,17,"Head and neck squamous cell carcinomas ( HNSCC ) are treated with surgery , radiotherapy and cisplatin-based chemotherapy , but survival from locally-advanced disease remains poor , particularly in patients whose tumors are negative for Human papillomavirus ( HPV ) ."
74191,Superior vena caval obstruction,is,treated,by,radiotherapy,0,3,7,7,9,9,10,10,11,11,Superior vena caval obstruction due to malignancy is conventionally treated by radiotherapy and/or chemotherapy .
74191,Superior vena caval obstruction,is,treated,by,chemotherapy,0,3,7,7,9,9,10,10,13,13,Superior vena caval obstruction due to malignancy is conventionally treated by radiotherapy and/or chemotherapy .
134506,Acute episodes,are,treated,with,plasma infusions,0,1,2,2,3,3,4,4,5,6,"Acute episodes are treated with plasma infusions , and approximately half of all patients experience frequent episodes and require prophylactic infusions to avoid organ damage ."
159670,a fatal gynecologic malignancy,is,treated,with,chemotherapy,7,10,12,12,14,14,15,15,16,16,Epithelial ovarian cancer ( EOC ) is a fatal gynecologic malignancy that is usually treated with chemotherapy after surgery .
172202,Multiple metastatic lesions,are,treated,with,whole-brain radiation,0,2,3,3,5,5,6,6,7,8,Multiple metastatic lesions are usually treated with whole-brain radiation .
246218,"a chronic , suppurative , and scarring disease",is,treated,by,complete excision of all hair-bearing tissues,4,11,13,13,16,16,17,17,18,23,"Bilateral axillary hidradenitis is a chronic , suppurative , and scarring disease that is most effectively treated by complete excision of all hair-bearing tissues ."
275839,an endocrine disease,is,treated,by,surgical intervention,7,9,11,11,13,13,14,14,15,16,Primary hyperparathyroidism due to parathyroid adenoma represents an endocrine disease that is usually treated by surgical intervention ( parathyroidectomy ) .
275839,an endocrine disease,is,treated,by,parathyroidectomy,7,9,11,11,13,13,14,14,18,18,Primary hyperparathyroidism due to parathyroid adenoma represents an endocrine disease that is usually treated by surgical intervention ( parathyroidectomy ) .
282863,Posterior crossbite,is,treated,with,maxillary rapid expansion devices,0,1,6,6,7,7,8,8,9,12,Posterior crossbite due to narrow maxillare is treated with maxillary rapid expansion devices in clinic .
313640,vocal fold ( VF ) leukoplakia,is,treated,with,in-office laser,1,6,7,7,9,9,10,10,11,12,"Although vocal fold ( VF ) leukoplakia is commonly treated with in-office laser , there is no data on its long-term effectiveness ."
324083,Philadelphia chromosome-positive ( Ph+ ) acute lymphoblastic leukemia,is,treated,with,tyrosine kinase inhibitors,0,7,16,16,18,18,19,19,20,22,Philadelphia chromosome-positive ( Ph+ ) acute lymphoblastic leukemia ( ALL ) carries a poor prognosis and is specifically treated with tyrosine kinase inhibitors .
461298,proved,is,treated,with,intravenous steroids,1,1,6,6,8,8,9,9,10,11,"Histologically proved rejection after heart transplantation is commonly treated with intravenous steroids , 1 gm/day for 3 days ."
461298,proved,is,treated,with,1 gm/day,1,1,6,6,8,8,9,9,13,14,"Histologically proved rejection after heart transplantation is commonly treated with intravenous steroids , 1 gm/day for 3 days ."
469251,other joints,are,treated,by,closed reduction with a brief period of immobilization,2,3,4,4,6,6,7,7,8,15,Dislocations of other joints are usually treated by closed reduction with a brief period of immobilization .
469496,Proximal stones,are,treated,by,extracorporeal shock wave lithotripsy,0,1,6,6,7,7,8,8,9,12,Proximal stones or large fragments then are treated by extracorporeal shock wave lithotripsy .
469496,large fragments,are,treated,by,extracorporeal shock wave lithotripsy,3,4,6,6,7,7,8,8,9,12,Proximal stones or large fragments then are treated by extracorporeal shock wave lithotripsy .
513258,Most cases of head lice,are,treated,by,nonphysicians,0,4,5,5,8,8,9,9,10,10,Most cases of head lice are diagnosed and treated by nonphysicians .
547298,the model methylated DNA duplexes,are,treated,with,nuclear extracts,29,33,34,34,35,35,36,36,37,38,"With the help of the primer extension reaction , MALDI MS and DNA cleavage by thymine DNA glycosylase deamination of 5-methylcytosine residues has been shown to take place when the model methylated DNA duplexes are treated with nuclear extracts from the cell lines CHO , HeLa , and Skov3 ."
573761,palmoplantar,is,treated,with,topical steroids,10,10,15,15,17,17,18,18,19,20,"Variably considered as a localized subtype of pustular psoriasis , palmoplantar pustulosis ( PPP ) is commonly treated with topical steroids , acitretin , and local phototherapy with oral or topical psoralen ( PUVA ) ."
573761,palmoplantar,is,treated,with,acitretin,10,10,15,15,17,17,18,18,22,22,"Variably considered as a localized subtype of pustular psoriasis , palmoplantar pustulosis ( PPP ) is commonly treated with topical steroids , acitretin , and local phototherapy with oral or topical psoralen ( PUVA ) ."
573761,palmoplantar,is,treated,with,local phototherapy,10,10,15,15,17,17,18,18,25,26,"Variably considered as a localized subtype of pustular psoriasis , palmoplantar pustulosis ( PPP ) is commonly treated with topical steroids , acitretin , and local phototherapy with oral or topical psoralen ( PUVA ) ."
600867,Extrapyramidal syndromes,are,treated,with,anticholinergics,0,1,9,9,11,11,12,12,13,13,Extrapyramidal syndromes ( EPS ) caused by antipsychotic therapy are currently treated with anticholinergics that lack selectivity for the five muscarinic receptor subtypes .
603024,Benign prostatic hyperplasia,is,treated,with,finasteride,0,2,3,3,5,5,6,6,7,7,"Benign prostatic hyperplasia is often treated with finasteride , which inhibits the conversion of testosterone to dihydrotestosterone ( DHT ) ."
606405,classed T1T2,are,treated,by,irradiation,5,6,7,7,9,9,10,10,11,11,Tumors of the tonsillar Fossa classed T1T2 are generally treated by irradiation with high rates of local control .
607081,elderly women,are,treated,with,spironolactone,9,10,13,13,14,14,15,15,16,16,In this study we investigated the mechanisms involved when elderly women with HFpEF are treated with spironolactone .
619474,Most women,are,treated,with,nutritional management,0,1,4,4,5,5,6,6,7,8,Most women with GDM are treated with nutritional management alone .
627959,central venous catheter fragments,is,treated,with,percutaneous interventional techniques,2,5,6,6,8,8,9,9,10,12,"Embolization of central venous catheter fragments is usually treated with percutaneous interventional techniques , which are difficult to apply in infants with very low birth weight ."
