sentence_id,medical,are,treated,treatment,medical_first_index,medical_last_index,are_first_index,are_last_index,treated_first_index,treated_last_index,treatment_first_index,treatment_last_index,sentence_text
266618,metabolic dysfunction of cytochrome P450 2C19,are,treated,long-term dual antiplatelet therapy,11,16,18,18,19,19,21,24,Prasugrel effectively reduces the platelet reactivity units in patients with genetically metabolic dysfunction of cytochrome P450 2C19 who are treated with long-term dual antiplatelet therapy after undergoing drug-eluting stent implantation .
543122,spinal tumors,are,treated,a multidisciplinary approach,3,4,5,5,7,7,9,11,"Because patients with spinal tumors are normally treated with a multidisciplinary approach , emphasis should be placed on the recognition of surgical complications beyond the surgical setting ."
599614,acute myeloid leukemia,are,treated,leukapheresis,2,4,28,28,30,30,32,32,"Patients with acute myeloid leukemia ( AML ) and hyperleukocytosis , defined as an initial white blood cell ( WBC ) count of ≥ 100 × 10(9)/L , are often treated with leukapheresis ."
805917,minimal residual disease,are,treated,abdominopelvic radiation,2,4,5,5,7,7,10,11,"Patients with minimal residual disease are best treated with either abdominopelvic radiation or chemotherapy ; patients with stage IV or bulky stage III disease , with chemotherapy ."
805917,minimal residual disease,are,treated,chemotherapy,2,4,5,5,7,7,13,13,"Patients with minimal residual disease are best treated with either abdominopelvic radiation or chemotherapy ; patients with stage IV or bulky stage III disease , with chemotherapy ."
1044976,multivessel coronary artery disease,is,treated,percutaneous coronary intervention,8,11,12,12,13,13,15,17,Traditionally ST-elevation myocardial infarction ( STEMI ) with multivessel coronary artery disease is treated with percutaneous coronary intervention ( PCI ) to culprit lesion only .
1235628,severe cirrhosis,are,treated,supportive care,7,8,9,9,11,11,13,14,Hepatocellular carcinoma ( HCC ) patients with severe cirrhosis are usually treated with supportive care because of their poor prognosis .
1339017,pulmonary metastasis,is,treated,a regression of pulmonary metastasis,4,5,6,6,7,7,15,19,"A bladder cancer with pulmonary metastasis is treated by chemotherapy ( adriamycin-cis platinum ) with a regression of pulmonary metastasis , then by cystectomy with enterocystoplasty , new courses of chemotherapy , then a pulmonary metastasectomy , histologically completely necrotic ."
1669474,diffuse large B-cell lymphoma,are,treated,standard immunochemotherapy,3,6,10,10,13,13,15,16,"Elderly patients with diffuse large B-cell lymphoma ( DLBCL ) are frequently not treated with standard immunochemotherapy , and this influences survival negatively ."
1674671,life-threatening ventricular arrhythmias,are,treated,a implantable cardioverter-defibrillator,13,15,17,17,18,18,20,22,The myocardial perfusion pattern is an important determinant of outcome in patients with life-threatening ventricular arrhythmias who are treated with a implantable cardioverter-defibrillator .
1846842,an acute cerebrovascular event,are,treated,clopidogrel,2,5,10,10,14,14,16,16,Patients with an acute cerebrovascular event have multiple comorbidities and are therefore relatively frequently treated with clopidogrel .
2096163,overt testicular leukemia,are,treated,"2,400-rad testicular radiation",6,8,10,10,11,11,13,15,"These data indicate that boys with overt testicular leukemia who are treated with 2,400-rad testicular radiation are at risk for Leydig cell dysfunction ."
2190734,various cognitive deficits,are,treated,behavioral therapeutic and computer-supported training programs,4,6,7,7,8,8,10,15,Children and adolescents with various cognitive deficits are treated with behavioral therapeutic and computer-supported training programs .
2304818,cerebral palsy,are,treated,botulinum toxin A,5,6,8,8,9,9,11,13,The proportion of children with cerebral palsy who are treated with botulinum toxin A varies considerably between Norwegian habilitation centres .
2668922,cystic fibrosis,are,treated,antibiotics,2,3,24,24,27,27,29,29,"Patients with cystic fibrosis ( CF ) who experience acute declines in percent predicted FEV1 ( ppFEV1 decreased ≥10 % relative to baseline ) are often not treated with antibiotics for pulmonary exacerbations ( PEx ) , whereas other patients are treated even when they have not experienced a decline in lung function ."
2822164,epithelial ovarian cancer,are,treated,platinum/taxane therapy,2,4,8,8,10,10,12,13,Women with epithelial ovarian cancer ( EOC ) are usually treated with platinum/taxane therapy after cytoreductive surgery but there is considerable inter-individual variation in response .
3075429,ischemic ulceration of the foot,are,treated,primary amputation,2,6,17,17,19,19,21,22,Patients with ischemic ulceration of the foot and no continuous tibial or inframalleolar vessels acceptable for bypass are often treated with primary amputation .
3075429,no continuous tibial or inframalleolar vessels acceptable,are,treated,primary amputation,8,14,17,17,19,19,21,22,Patients with ischemic ulceration of the foot and no continuous tibial or inframalleolar vessels acceptable for bypass are often treated with primary amputation .
3082189,trigeminal neuralgia,are,treated,medications,2,3,13,13,15,15,17,17,Patients with trigeminal neuralgia ( TN ) and multiple sclerosis ( MS ) are often treated with medications or a surgical procedure .
3082189,trigeminal neuralgia,are,treated,a surgical procedure,2,3,13,13,15,15,19,21,Patients with trigeminal neuralgia ( TN ) and multiple sclerosis ( MS ) are often treated with medications or a surgical procedure .
3082189,multiple sclerosis,are,treated,medications,8,9,13,13,15,15,17,17,Patients with trigeminal neuralgia ( TN ) and multiple sclerosis ( MS ) are often treated with medications or a surgical procedure .
3082189,multiple sclerosis,are,treated,a surgical procedure,8,9,13,13,15,15,19,21,Patients with trigeminal neuralgia ( TN ) and multiple sclerosis ( MS ) are often treated with medications or a surgical procedure .
3138029,advanced breast cancer,are,treated,preoperative ( neoadjuvant ) systemic therapy,3,5,6,6,8,8,10,15,Patients with locally advanced breast cancer are frequently treated with preoperative ( neoadjuvant ) systemic therapy to downstage the tumor and improve surgical outcomes .
3154576,cardiovascular disease,is,treated,hyperbaric oxygen therapy,9,10,11,11,12,12,14,16,Care should be taken when a diabetic patient with cardiovascular disease is treated with hyperbaric oxygen therapy .
3255240,advanced stage head and neck squamous cell carcinoma,are,treated,cisplatin-containing chemoradiation protocols,2,9,13,13,15,15,17,19,Patients with advanced stage head and neck squamous cell carcinoma ( HNSCC ) are often treated with cisplatin-containing chemoradiation protocols .
3274914,metastatic disease,are,treated,platinum-based cytotoxic chemotherapy regimens,2,3,4,4,6,6,8,11,Patients with metastatic disease are usually treated with platinum-based cytotoxic chemotherapy regimens similar to those used for small cell carcinoma of the lung .
3559472,diagnosed low-risk ankle fractures,are,treated,an ankle brace,19,22,24,24,25,25,27,29,"There is low-quality evidence of a quicker recovery of self reported function at four weeks in children with clinically diagnosed low-risk ankle fractures who are treated with an ankle brace compared with those treated with a rigid cast , especially a non-removable walking cast ."
3644732,pathogenic Helicobacter species,are,treated,combination therapies,3,5,6,6,8,8,10,11,"Gastrointestinal infections with pathogenic Helicobacter species are commonly treated with combination therapies , which often include amoxicillin ."
3981726,new-onset esophageal symptoms,are,treated,oral systemic antifungal therapy,6,8,9,9,11,11,14,17,"In contrast , HIV-infected patients with new-onset esophageal symptoms are usually treated empirically with oral systemic antifungal therapy given the prevalence of Candida esophagitis ."
4002604,differentiated,are,treated,(131)I therapy,2,2,8,8,9,9,11,12,Patients with differentiated thyroid carcinoma ( DTC ) are treated with (131)I therapy after total thyroidectomy or surgical resection of recurrent tumor .
4013656,small hepatocellular carcinoma,are,treated,hepatic resection,2,4,8,8,10,10,12,13,Patients with small hepatocellular carcinoma ( HCC ) are usually treated with hepatic resection or percutaneous ethanol injection ( PEI ) .
4013656,small hepatocellular carcinoma,are,treated,percutaneous ethanol injection,2,4,8,8,10,10,15,17,Patients with small hepatocellular carcinoma ( HCC ) are usually treated with hepatic resection or percutaneous ethanol injection ( PEI ) .
4029685,metastatic colorectal cancer,are,treated,chemotherapy,8,10,11,11,13,13,15,15,"In fact , many otherwise-healthy older patients with metastatic colorectal cancer are not treated with chemotherapy ."
4258664,upper respiratory infection,are,treated,clarithromycin,2,4,5,5,7,7,11,11,Patients with upper respiratory infection are often treated with theophylline and clarithromycin concurrently .
4258664,upper respiratory infection,are,treated,theophylline,2,4,5,5,7,7,9,9,Patients with upper respiratory infection are often treated with theophylline and clarithromycin concurrently .
4266472,advanced non-small cell lung cancer,are,treated,gemcitabine-platinum,28,32,37,37,38,38,40,40,"This multicenter , non-interventional , prospective , observational study aimed to determine whether patients ' attitude to chemotherapy is an independent prognostic factor for survival in patients with advanced non-small cell lung cancer ( NSCLC ) who are treated with gemcitabine-platinum ."
4357547,excessive flaccidity,are,treated,lipoplasty,14,15,18,18,19,19,21,21,"In patients with mild flaccidity , short incisions are used , but patients with excessive flaccidity with adiposity are treated with lipoplasty and tissue removal involving a long incision to produce the best aesthetic contour ."
4357547,excessive flaccidity,are,treated,tissue removal,14,15,18,18,19,19,23,24,"In patients with mild flaccidity , short incisions are used , but patients with excessive flaccidity with adiposity are treated with lipoplasty and tissue removal involving a long incision to produce the best aesthetic contour ."
4668824,viable myocardium,are,treated,medical therapy,2,3,5,5,6,6,11,12,"Patients with viable myocardium who are treated with revascularization rather than medical therapy have better outcomes in terms of survival , left ventricular function , symptoms , and exercise capacity ."
