sentence_id,treatment,medical,treatment_first_index,treatment_last_index,medical_first_index,medical_last_index,sentence_text
5635,Acitretin,severe nodulocystic acne,0,0,7,9,"Acitretin may be a promising treatment for severe nodulocystic acne and hidradenitis suppurativa , which require long-term suppression when isotretinoin fails to give long-term remission ."
11317,The single agent gemcitabine,advanced pancreatic cancer,0,3,10,12,The single agent gemcitabine is the standard first-line treatment for advanced pancreatic cancer .
31451,atypical antipsychotic drugs,bipolar disorders,2,4,10,11,[ Are atypical antipsychotic drugs the first line treatment for bipolar disorders ? Against ] .
36516,Bilamellar tarsal rotation,trachomatous trichiasis,0,2,8,9,Bilamellar tarsal rotation is the preferred treatment for trachomatous trichiasis .
42586,partial patellectomy,selected patellar fractures,7,8,15,17,The results of this study indicate that partial patellectomy can be an effective treatment for selected patellar fractures .
45408,loratadine,symptomatic relief of chronic idiopathic urticaria,3,3,17,22,"We concluded that loratadine , 10 mg , once daily is a safe and effective treatment for symptomatic relief of chronic idiopathic urticaria ."
53798,meloxicam,ASA-hypersensitive asthma,7,7,14,15,This study indicates that 7.5 mg of meloxicam is a safe alternative treatment for ASA-hypersensitive asthma and/or NP patients with proven hypersensitivity via oral ASA challenges .
54955,Percutaneous transluminal coronary angioplasty,proximal and localized coronary artery disease,0,3,12,17,Percutaneous transluminal coronary angioplasty ( PTCA ) is a low-risk treatment for proximal and localized coronary artery disease .
54955,PTCA,proximal and localized coronary artery disease,5,5,12,17,Percutaneous transluminal coronary angioplasty ( PTCA ) is a low-risk treatment for proximal and localized coronary artery disease .
78558,Collagenase clostridium histolyticum,adult patients with Dupuytren 's contracture,0,2,14,19,Collagenase clostridium histolyticum ( CCH ) is a Food and Drug Administration-approved treatment for adult patients with Dupuytren 's contracture with a palpable cord that has been shown efficacious and safe in clinical trials .
78558,CCH,adult patients with Dupuytren 's contracture,4,4,14,19,Collagenase clostridium histolyticum ( CCH ) is a Food and Drug Administration-approved treatment for adult patients with Dupuytren 's contracture with a palpable cord that has been shown efficacious and safe in clinical trials .
83381,The selective estrogen response modifier tamoxifen,postmenopausal patients,0,5,12,13,The selective estrogen response modifier tamoxifen has been the standard treatment for postmenopausal patients for many years .
83381,The selective estrogen response modifier tamoxifen,many years,0,5,15,16,The selective estrogen response modifier tamoxifen has been the standard treatment for postmenopausal patients for many years .
97107,Common femoral endarterectomy,atherosclerotic lesions,0,2,13,14,Common femoral endarterectomy ( CFE ) has historically been the preferred treatment for atherosclerotic lesions involving the common femoral artery .
97107,CFE,atherosclerotic lesions,4,4,13,14,Common femoral endarterectomy ( CFE ) has historically been the preferred treatment for atherosclerotic lesions involving the common femoral artery .
