sentence_id,treatment,cures,medical,treatment_first_index,treatment_last_index,cures_first_index,cures_last_index,medical_first_index,medical_last_index,sentence_text
3569767,A new antitrypanosomal hit compound,cures,an acute ( STIB 900 ) mouse model of Trypanosoma brucei rhodesiense trypanosomiasis,0,4,6,6,7,19,A new antitrypanosomal hit compound that cures an acute ( STIB 900 ) mouse model of Trypanosoma brucei rhodesiense trypanosomiasis is described .
3643049,The new method,cures,the slow convergence,0,2,14,14,15,17,The new method preserves the scaling and the simplicity of the stochastic DFT but cures the slow convergence that occurs when weakly coupled subsystems are treated .
8412555,A numerical algorithm,cures,the previous implementation,0,2,4,4,9,11,A numerical algorithm which cures the convergence problems of the previous implementation is presented .
9298170,antiparasitic treatment,cures,female genital schistosomiasis,8,9,10,10,11,13,Little is known whether and to what extent antiparasitic treatment cures female genital schistosomiasis ( FGS ) .
9848528,Adenotonsillectomy,cures,obstructive sleep apnoea,0,0,2,2,3,5,Adenotonsillectomy usually cures obstructive sleep apnoea in otherwise healthy children .
13763699,a treatment,cures,the portal hypertension,3,4,6,6,8,10,Liver transplantation offers a treatment that cures both the portal hypertension and the liver disease .
15353491,the positional manoeuvre,cures,benign positional vertigo,7,9,12,12,13,15,Probably the most important treatment breakthrough is the positional manoeuvre that reliably cures benign positional vertigo ( see Chapter 6 ) .
15846820,the Cox-Maze III procedure,cures,atrial fibrillation,1,4,5,5,6,7,"Although the Cox-Maze III procedure cures atrial fibrillation in the majority of patients , it has not had widespread application ."
16536416,Radiation therapy,cures,malignant tumors of the head,0,1,2,2,3,7,Radiation therapy cures malignant tumors of the head and neck region more effectively when it is combined with application of the anti-EGFR monoclonal antibody cetuximab .
18113808,Psychotic episode,cures,severe disability,0,1,3,3,8,9,"Psychotic episode "" cures "" 15 years of severe disability due to post-surgery paraplegia ."
18365869,Dual cancer-specific targeting strategy,cures,primary and distant breast carcinomas,0,3,4,4,5,9,Dual cancer-specific targeting strategy cures primary and distant breast carcinomas in nude mice .
18571014,Ascorbic acid,cures,certain diseases,0,1,6,6,7,8,Ascorbic acid ameliorates symptoms and sometimes cures certain diseases at high threshold levels near bowel tolerance .
18900160,Intestinal microbiota,cures,vancomycin-resistant Enterococcus faecium colonization,0,1,5,5,6,9,Intestinal microbiota containing Barnesiella species cures vancomycin-resistant Enterococcus faecium colonization .
20595033,successful renal transplantation,cures,uremic pruritus,23,25,26,26,27,28,"In very severe and refractory cases , patients suitable for renal transplantation might be switched to ' high urgency ' status , as successful renal transplantation cures uremic pruritus in most of the cases ."
20698484,Liver transplantation,cures,the hepatic disease,0,1,14,14,15,17,Liver transplantation is an alternative in cases with acute and chronic liver failure and cures the hepatic disease .
22228672,Current treatment,cures,"most cases of early-stage , primary breast cancer",0,1,2,2,3,10,"Current treatment cures most cases of early-stage , primary breast cancer ."
24194024,Eradication of infection,cures,peptic ulcer,0,2,23,23,26,27,"Eradication of infection with "" standard triple therapy "" abolishes the chronic immunological and inflammatory responses to H. pylori and , thus , cures gastritis and peptic ulcer ."
24229747,Pegylated interferon,cures,less than half of patients,0,1,24,24,26,30,"Pegylated interferon ( PEG-IFN ) plus ribavirin ( RBV ) has significant side effects , must be administered for up to 48 weeks and cures about less than half of patients ."
24229747,ribavirin,cures,less than half of patients,6,6,24,24,26,30,"Pegylated interferon ( PEG-IFN ) plus ribavirin ( RBV ) has significant side effects , must be administered for up to 48 weeks and cures about less than half of patients ."
24229747,RBV,cures,less than half of patients,8,8,24,24,26,30,"Pegylated interferon ( PEG-IFN ) plus ribavirin ( RBV ) has significant side effects , must be administered for up to 48 weeks and cures about less than half of patients ."
25254792,intravenous injection ( 3 mg/kg of body weight twice daily ) of a diastereomer ( containing 33 % D amino acids ) of an antimicrobial peptide,cures,neutropenic mice,3,28,42,42,43,44,"We report that intravenous injection ( 3 mg/kg of body weight twice daily ) of a diastereomer ( containing 33 % D amino acids ) of an antimicrobial peptide , K6L9 ( LKLLKKLLKKLLKLL-NH2 ) , but not the all-L-amino-acid parental peptide , cures neutropenic mice infected with gentamicin-sensitive Pseudomonas aeruginosa and gentamicin-resistant Acinetobacter baumannii bacteria ."
27446638,promethazine,cures,peripheral vertigo,5,5,6,6,7,8,"Our results indicated that while promethazine cures peripheral vertigo more efficiently , ondansetron is more beneficial for the improvement of nausea and vomiting ."
27450068,Human hepatocarcinoma-intestine-pancreas/pancreatitis-associated protein,cures,fas-induced acute liver failure in mice,0,2,3,3,4,9,Human hepatocarcinoma-intestine-pancreas/pancreatitis-associated protein cures fas-induced acute liver failure in mice by attenuating free-radical damage in injured livers .
27560269,Eradication of H. pylori infection,cures,peptic ulcer disease,0,4,5,5,6,8,"Eradication of H. pylori infection cures peptic ulcer disease and conversely , relapse is associated with reappearance of H. pylori infection ."
29772593,Ex vivo gene therapy,cures,blistering,0,3,4,4,6,6,Ex vivo gene therapy cures a blistering skin disease .
29865853,Liuwei Dihuang pill,cures,postmenopausal osteoporosis,0,2,3,3,4,5,Liuwei Dihuang pill cures postmenopausal osteoporosis with kidney-Yin deficiency : Potential therapeutic targets identified based on gene expression profiling .
